,el,er,ia,sr
392,4.0,6.0,2.0,0.0
393,1.0,10.0,0.0,0.0
394,2.0,8.0,1.0,0.0
395,1.0,10.0,0.0,0.0
396,1.0,10.0,0.0,0.0
397,2.0,8.0,1.0,0.0
398,1.0,10.0,0.0,0.0
399,1.0,10.0,0.0,0.0
400,1.0,10.0,0.0,0.0
401,1.0,10.0,0.0,0.0
402,3.0,8.0,1.0,0.0
403,1.0,10.0,0.0,0.0
404,1.0,10.0,0.0,0.0
405,3.0,6.0,2.0,0.0
406,1.0,10.0,0.0,0.0
407,2.0,0.0,1.0,0.0
408,2.0,10.0,0.0,0.0
409,1.0,10.0,0.0,0.0
410,10.0,-14.0,8.0,0.0
411,3.0,-2.0,2.0,0.0
412,1.0,10.0,0.0,0.0
413,1.0,10.0,0.0,0.0
414,2.0,8.0,1.0,0.0
415,2.0,8.0,1.0,0.0
416,11.0,-16.0,8.0,0.0
417,5.0,6.0,2.0,0.0
418,1.0,10.0,0.0,0.0
419,1.0,10.0,0.0,0.0
420,2.0,8.0,1.0,0.0
421,1.0,10.0,0.0,0.0
422,2.0,8.0,1.0,0.0
423,1.0,10.0,0.0,0.0
424,4.0,8.0,1.0,0.0
425,1.0,10.0,0.0,0.0
426,2.0,8.0,1.0,0.0
427,2.0,10.0,0.0,0.0
428,1.0,10.0,0.0,0.0
429,1.0,10.0,0.0,0.0
430,1.0,10.0,0.0,0.0
431,1.0,10.0,0.0,0.0
432,1.0,10.0,0.0,0.0
433,5.0,6.0,2.0,0.0
434,1.0,10.0,0.0,0.0
435,2.0,10.0,0.0,0.0
436,1.0,10.0,0.0,0.0
437,1.0,10.0,0.0,0.0
438,1.0,10.0,0.0,0.0
439,1.0,10.0,0.0,0.0
440,11.0,-22.0,7.0,0.0
441,3.0,0.0,1.0,0.0
442,1.0,10.0,0.0,0.0
443,1.0,10.0,0.0,0.0
444,6.0,-8.0,5.0,0.0
445,1.0,10.0,0.0,0.0
446,8.0,-2.0,6.0,0.0
447,1.0,10.0,0.0,0.0
448,1.0,10.0,0.0,0.0
449,1.0,10.0,0.0,0.0
450,11.0,-14.0,7.0,0.0
451,1.0,10.0,0.0,0.0
452,2.0,10.0,0.0,0.0
453,1.0,10.0,0.0,0.0
454,7.0,-4.0,3.0,0.0
455,3.0,8.0,1.0,0.0
456,1.0,10.0,0.0,0.0
457,2.0,10.0,0.0,0.0
458,2.0,0.0,1.0,0.0
459,1.0,10.0,0.0,0.0
460,1.0,10.0,0.0,0.0
461,3.0,8.0,1.0,0.0
462,1.0,10.0,0.0,0.0
463,1.0,10.0,0.0,0.0
464,9.0,-14.0,4.0,0.0
465,1.0,10.0,0.0,0.0
466,1.0,10.0,0.0,0.0
467,1.0,10.0,0.0,0.0
468,2.0,0.0,1.0,0.0
469,1.0,10.0,0.0,0.0
470,1.0,10.0,0.0,0.0
471,1.0,10.0,0.0,0.0
472,2.0,8.0,1.0,0.0
473,1.0,10.0,0.0,0.0
474,2.0,8.0,1.0,0.0
475,2.0,10.0,0.0,0.0
476,1.0,10.0,0.0,0.0
477,11.0,-16.0,8.0,0.0
478,1.0,10.0,0.0,0.0
479,2.0,10.0,0.0,0.0
480,1.0,10.0,0.0,0.0
481,2.0,0.0,1.0,0.0
482,1.0,10.0,0.0,0.0
483,11.0,-10.0,5.0,0.0
484,1.0,10.0,0.0,0.0
485,1.0,10.0,0.0,0.0
486,2.0,8.0,1.0,0.0
487,1.0,10.0,0.0,0.0
