,Unnamed: 0,ct,el,er,t
954,,0.0,2.0,10.0,20946.328473329544
955,,0.0,4.0,10.0,20989.82209777832
956,,0.0,7.0,10.0,21070.108350515366
957,,0.0,1.0,10.0,21081.574561357498
958,,0.0,7.0,10.0,21171.08505821228
959,,0.0,9.0,10.0,21279.932945251465
960,,0.0,10.0,10.0,21391.74315071106
961,,0.0,11.0,10.0,21519.468891382217
962,,0.0,11.0,0.0,21648.357634305954
963,,0.0,4.0,10.0,21693.57054042816
964,,0.0,11.0,10.0,21819.23672389984
965,,0.0,4.0,10.0,21866.41717004776
966,,0.0,10.0,10.0,21978.545505046844
967,,0.0,4.0,10.0,22020.720982313156
968,,0.0,11.0,10.0,22147.394761800766
969,,0.0,6.0,10.0,22215.12728524208
970,,0.0,8.0,10.0,22311.144999027252
971,,0.0,11.0,0.0,22448.925938367844
972,,0.0,4.0,10.0,22496.108424425125
973,,0.0,11.0,0.0,22630.06748843193
974,,0.0,11.0,0.0,22765.41868329048
975,,0.0,11.0,0.0,22901.920318603516
976,,0.0,11.0,10.0,23033.299906015396
977,,0.0,10.0,10.0,23143.817435741425
978,,0.0,1.0,10.0,23151.555160999298
979,,0.0,2.0,10.0,23174.53039932251
980,,0.0,11.0,0.0,23305.743231534958
981,,0.0,8.0,10.0,23397.00345301628
982,,0.0,11.0,0.0,23531.00605082512
983,,0.0,11.0,0.0,23658.654373168945
984,,0.0,5.0,10.0,23718.223791360855
985,,0.0,11.0,10.0,23842.4675052166
986,,0.0,6.0,10.0,23909.54829931259
987,,0.0,3.0,10.0,23943.024211883545
988,,0.0,11.0,10.0,24074.420144557953
989,,0.0,6.0,10.0,24141.91325235367
990,,0.0,10.0,10.0,24255.13888669014
991,,0.0,3.0,10.0,24289.464789628983
992,,0.0,5.0,10.0,24350.74149942398
993,,0.0,4.0,10.0,24394.00571155548
994,,0.0,4.0,10.0,24437.950561523438
995,,0.0,1.0,10.0,24448.795921564102
996,,0.0,10.0,10.0,24568.051328897476
997,,0.0,1.0,10.0,24579.515359401703
998,,0.0,3.0,10.0,24614.92231988907
999,,0.0,2.0,10.0,24634.73037672043
1000,,0.0,4.0,10.0,24681.409294843674
1001,,0.0,11.0,0.0,24818.97252392769
1002,,0.0,6.0,10.0,24885.838790655136
1003,,0.0,11.0,0.0,25019.238521575928
1004,,0.0,1.0,10.0,25028.64004421234
1005,,0.0,9.0,10.0,25131.992712020874
1006,,0.0,11.0,0.0,25261.44497346878
1007,,0.0,8.0,10.0,25356.26092171669
1008,,0.0,1.0,10.0,25365.77255678177
1009,,0.0,3.0,10.0,25399.57425880432
1010,,0.0,1.0,10.0,25408.474719762802
1011,,0.0,3.0,10.0,25442.396101236343
1012,,0.0,11.0,10.0,25569.992228269577
1013,,0.0,6.0,10.0,25640.583400964737
1014,,0.0,5.0,10.0,25696.074929714203
